post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47616361,Google releases Gemma 4 open models,technology,1806,473,jeffmcjunkin,2026-04-08 09:22:56,0.26175982291090205,True
47660925,Issue: Claude Code is unusable for complex engineering tasks with Feb updates,technology,1234,674,StanAngeloff,2026-04-08 09:22:56,0.545748987854251,True
47633396,Tell HN: Anthropic no longer allowing Claude Code subscriptions to use OpenClaw,technology,1091,829,firloop,2026-04-08 09:22:56,0.7591575091575091,True
47679121,Project Glasswing: Securing critical software for the AI era,technology,994,438,Ryan5453,2026-04-08 09:22:56,0.4402010050251256,True
47640728,Show HN: A game where you build a GPU,technology,951,186,Jaso1024,2026-04-08 09:22:56,0.1953781512605042,True
47648828,"Eight years of wanting, three months of building with AI",technology,938,297,brilee,2026-04-08 09:22:56,0.31629392971246006,True
47655408,Show HN: I built a tiny LLM to demystify how language models work,technology,884,131,armanified,2026-04-08 09:22:56,0.1480225988700565,True
47609564,Steam on Linux Use Skyrocketed Above 5% in March,technology,784,367,hkmaxpro,2026-04-08 09:22:56,0.467515923566879,True
47624645,Show HN: Apfel – The free AI already on your Mac,technology,733,155,franze,2026-04-08 09:22:56,0.2111716621253406,True
47637757,Embarrassingly simple self-distillation improves code generation,technology,650,199,Anon84,2026-04-08 09:22:56,0.30568356374807987,True
47612724,Lemonade by AMD: a fast and open source local LLM server using GPU and NPU,technology,569,112,AbuAssar,2026-04-08 09:22:56,0.19649122807017544,True
47618189,Tailscale's new macOS home,technology,564,310,tosh,2026-04-08 09:22:56,0.5486725663716814,True
47640380,Apple approves driver that lets Nvidia eGPUs work with Arm Macs,technology,524,240,naves,2026-04-08 09:22:56,0.45714285714285713,True
47615490,Artemis computer running two instances of MS outlook; they can't figure out why,technology,496,363,mooreds,2026-04-08 09:22:56,0.7303822937625755,True
47655466,Employers use your personal data to figure out the lowest salary you'll accept,technology,447,282,thisislife2,2026-04-08 09:22:56,0.6294642857142857,True
47633855,Claude Code Found a Linux Vulnerability Hidden for 23 Years,technology,425,268,eichin,2026-04-08 09:22:56,0.6291079812206573,True
47637377,LÖVE: 2D Game Framework for Lua,technology,409,214,cl3misch,2026-04-08 09:22:56,0.5219512195121951,True
47618223,We replaced RAG with a virtual filesystem for our AI documentation assistant,technology,408,148,denssumesh,2026-04-08 09:22:56,0.36185819070904646,True
47644864,"AWS engineer reports PostgreSQL perf halved by Linux 7.0, fix may not be easy",technology,403,158,crcastle,2026-04-08 09:22:56,0.3910891089108911,True
47651540,Running Gemma 4 locally with LM Studio's new headless CLI and Claude Code,technology,401,99,vbtechguy,2026-04-08 09:22:56,0.2462686567164179,True
47649117,Someone at BrowserStack is leaking users' email addresses,technology,386,103,m_km,2026-04-08 09:22:56,0.2661498708010336,True
47609694,Email obfuscation: What works in 2026?,technology,370,105,jaden,2026-04-08 09:22:56,0.2830188679245283,True
47617415,Good ideas do not need lots of lies in order to gain public acceptance (2008),technology,365,206,sedev,2026-04-08 09:22:56,0.5628415300546448,True
47652322,Music for Programming,technology,345,171,merusame,2026-04-08 09:22:56,0.49421965317919075,True
47664205,Adobe modifies hosts file to detect whether Creative Cloud is installed,technology,321,150,rglullis,2026-04-08 09:22:56,0.4658385093167702,True
47647788,The threat is comfortable drift toward not understanding what you're doing,worldnews,964,614,zaikunzhang,2026-04-08 09:22:56,0.6362694300518135,True
47615002,Qwen3.6-Plus: Towards real world agents,worldnews,592,209,pretext,2026-04-08 09:22:56,0.3524451939291737,True
47677853,GLM-5.1: Towards Long-Horizon Tasks,worldnews,452,173,zixuanlimit,2026-04-08 09:22:56,0.3818984547461369,True
47639976,German men 18-45 need military permit for extended stays abroad,worldnews,399,720,L_226,2026-04-08 09:22:56,1.8,True
47660954,German police name alleged leaders of GandCrab and REvil ransomware groups,worldnews,316,155,Bender,2026-04-08 09:22:56,0.4889589905362776,True
47662945,Show HN: GovAuctions lets you browse government auctions at once,worldnews,297,85,player_piano,2026-04-08 09:22:56,0.28523489932885904,True
47615756,Renewables reached nearly 50% of global electricity capacity last year,worldnews,297,148,Growtika,2026-04-08 09:22:56,0.4966442953020134,True
47618221,The Australian government has announced gambling advertising reforms,worldnews,133,101,gostsamo,2026-04-08 09:22:56,0.753731343283582,False
47645817,How Pope Leo is pushing back on divine justification of war,worldnews,76,42,1659447091,2026-04-08 09:22:56,0.5454545454545454,False
47651626,Reaffirming our commitment to child safety in the face of EuropeanUnion inaction,worldnews,71,88,upofadown,2026-04-08 09:22:56,1.2222222222222223,False
47664308,JPMorgan warns Tesla stock could sink 60% in new note,worldnews,61,18,freediddy,2026-04-08 09:22:56,0.2903225806451613,False
47656682,Winners of the 2026 Kokuyo Design Awards,worldnews,52,17,zdw,2026-04-08 09:22:56,0.32075471698113206,False
47653036,Satellite firm Planet Labs to indefinitely withold Iran war imagery,worldnews,42,12,anigbrowl,2026-04-08 09:22:56,0.27906976744186046,False
47671498,When War Crimes Rhetoric Becomes Battlefield Reality,worldnews,40,41,dogscatstrees,2026-04-08 09:22:56,1.0,False
47680124,IPv6 is the only way forward,worldnews,40,111,quaintdev,2026-04-08 09:22:56,2.707317073170732,False
47683613,ICE acknowledges it is using powerful spyware,worldnews,29,3,dnemmers,2026-04-08 09:22:56,0.1,False
47629021,Global Physics Photowalk: 2025 winners revealed,worldnews,26,1,ibobev,2026-04-08 09:22:56,0.037037037037037035,False
47677952,The Blueprint of a North Korean Attack on Open-Source,worldnews,26,10,brene,2026-04-08 09:22:56,0.37037037037037035,False
47650273,"Meta, Google under attack as court cases bypass 30-year-old legal shield",worldnews,18,10,1vuio0pswjnm7,2026-04-08 09:22:56,0.5263157894736842,False
47668127,Bitwarden Is Down,worldnews,16,3,zhan_eg,2026-04-08 09:22:56,0.17647058823529413,False
47669649,Global Fuel Shortage Pushes Governments Toward Demand Controls,worldnews,14,10,toomuchtodo,2026-04-08 09:22:56,0.6666666666666666,False
47610590,The East India Company in Japan,worldnews,14,2,Thevet,2026-04-08 09:22:56,0.13333333333333333,False
47671930,A New Oil Shock Accelerates a Return to Nuclear Power,worldnews,13,12,rustoo,2026-04-08 09:22:56,0.8571428571428571,False
47675835,Wireless Festival cancelled after government stops Kanye West entering UK,worldnews,12,1,manarth,2026-04-08 09:22:56,0.07692307692307693,False
47672888,IDF admits Iran can keep firing missiles as long as war continues,worldnews,12,2,johnbarron,2026-04-08 09:22:56,0.15384615384615385,False
47639727,"When legal sports betting surges, so do Americans' financial problems",sports,221,146,pseudolus,2026-04-08 09:22:56,0.6576576576576577,False
47655268,"Show HN: Modo – I built an open-source alternative to Kiro, Cursor, and Windsurf",sports,98,22,mohshomis,2026-04-08 09:22:56,0.2222222222222222,False
47646363,Modern Generic SVGA driver for Windows 3.1,sports,72,19,userbinator,2026-04-08 09:22:56,0.2602739726027397,False
47674234,"""The new Copilot app for Windows 11 is really just Microsoft Edge""",sports,66,45,bundie,2026-04-08 09:22:56,0.6716417910447762,False
47633676,"Extra usage credit for Pro, Max, and Team plans",sports,64,61,angst,2026-04-08 09:22:56,0.9384615384615385,False
47673928,Record wind and solar saved UK from gas imports worth £1B in March 2026,sports,57,20,mindracer,2026-04-08 09:22:56,0.3448275862068966,False
47681241,Anthropic's Project Glasswing sounds necessary to me,sports,38,5,simonw,2026-04-08 09:22:56,0.1282051282051282,False
47656146,"New Copilot for Windows 11 includes a full Microsoft Edge package, uses more RAM",sports,37,7,aaronsung,2026-04-08 09:22:56,0.18421052631578946,False
47644726,"Power-washing, pool-cleaning and mowing – playing games about mundane jobs",sports,24,4,andsoitis,2026-04-08 09:22:56,0.16,False
47681453,"Sports bets on prediction markets ruled to be ""swaps,"" exempt from state laws",sports,16,5,nradov,2026-04-08 09:22:56,0.29411764705882354,False
47662682,Tattoo ink induces inflammation and alters the immune response to vaccination,sports,15,0,ryan_j_naughton,2026-04-08 09:22:56,0.0,False
47624270,Q148637: Windows 95/98 Overwrites Boot-Sector Field on Floppy Disks (2001),sports,10,3,TMWNN,2026-04-08 09:22:56,0.2727272727272727,False
47682384,"GLM-5.1 matches Opus 4.6 in agentic performance, at ~1/3 actual cost",sports,10,2,skysniper,2026-04-08 09:22:56,0.18181818181818182,False
47667008,Show HN: I built a site that turns your Steam gaming hours into a RL skill tree,sports,6,1,naorz,2026-04-08 09:22:56,0.14285714285714285,False
47662234,A cryptography engineer's perspective on quantum computing timelines,science,519,214,thadt,2026-04-08 09:22:56,0.4115384615384615,True
47648404,My Google Workspace account suspension,science,368,217,zenincognito,2026-04-08 09:22:56,0.5880758807588076,True
47608495,Quantum computing bombshells that are not April Fools,science,265,107,Strilanc,2026-04-08 09:22:56,0.40225563909774437,False
47650502,Computational Physics (2nd Edition) (2025),science,182,22,teleforce,2026-04-08 09:22:56,0.12021857923497267,False
47675213,Google open-sources experimental agent orchestration testbed Scion,science,167,47,timbilt,2026-04-08 09:22:56,0.27976190476190477,False
